ENSG00000002822	Adenocarcinoma of prostate
ENSG00000002822	Juvenile arthritis
ENSG00000002822	Juvenile-Onset Still Disease
ENSG00000002822	Juvenile psoriatic arthritis
ENSG00000002822	Lymphoma
ENSG00000002822	Malignant neoplasm of prostate
ENSG00000002822	Polyarthritis, Juvenile, Rheumatoid Factor Negative
ENSG00000002822	Polyarthritis, Juvenile, Rheumatoid Factor Positive
ENSG00000002822	Prostate cancer, familial
ENSG00000002822	PROSTATE CANCER, HEREDITARY, 1
ENSG00000002822	Prostatic Neoplasms
ENSG00000002822	Schizophrenia
ENSG00000002822	Testicular Germ Cell Tumor
ENSG00000003987	Liver Cirrhosis, Experimental
ENSG00000005893	Cardiomyopathies
ENSG00000005893	Complex Partial Status Epilepticus
ENSG00000005893	Glycogen Storage Disease
ENSG00000005893	Glycogen Storage Disease Type IIb
ENSG00000005893	Grand Mal Status Epilepticus
ENSG00000005893	Non-Convulsive Status Epilepticus
ENSG00000005893	Petit mal status
ENSG00000005893	Simple Partial Status Epilepticus
ENSG00000005893	Status Epilepticus
ENSG00000005893	Status Epilepticus, Subclinical
ENSG00000006695	Cytochrome-c Oxidase Deficiency
ENSG00000006695	Encephalopathy, Subacute Necrotizing, Infantile
ENSG00000006695	Encephalopathy, Subacute Necrotizing, Juvenile
ENSG00000006695	Leigh Disease
ENSG00000006695	LEIGH SYNDROME DUE TO MITOCHONDRIAL COMPLEX I DEFICIENCY
ENSG00000006695	Leigh Syndrome Due To Mitochondrial Complex II Deficiency
ENSG00000006695	Leigh Syndrome due to Mitochondrial Complex III Deficiency
ENSG00000006695	Leigh Syndrome due to Mitochondrial Complex IV Deficiency
ENSG00000006695	Leigh Syndrome due to Mitochondrial Complex V Deficiency
ENSG00000006695	Mitochondrial Diseases
ENSG00000006695	Necrotizing encephalopathy, infantile subacute, of Leigh
ENSG00000007168	Agyria
ENSG00000007168	Carcinogenesis
ENSG00000007168	Chromosome 17p13.3 Duplication Syndrome
ENSG00000007168	Classical Lissencephaly
ENSG00000007168	Lissencephaly
ENSG00000007168	Miller Dieker syndrome
ENSG00000007168	Pachygyria
ENSG00000007168	Schizophrenia
ENSG00000007168	Subcortical Band Heterotopia
ENSG00000007171	Absence Seizures
ENSG00000007171	Active Hyperemia
ENSG00000007171	Acute Cerebrovascular Accidents
ENSG00000007171	Acute kidney injury
ENSG00000007171	Acute Kidney Insufficiency
ENSG00000007171	Allodynia
ENSG00000007171	Alloxan Diabetes
ENSG00000007171	Anoxia-Ischemia, Brain
ENSG00000007171	Anoxia-Ischemia, Cerebral
ENSG00000007171	Anoxic-Ischemic Encephalopathy
ENSG00000007171	Aortitis Syndrome
ENSG00000007171	Arthritis, Psoriatic
ENSG00000007171	Asbestosis
ENSG00000007171	Aspiration Pneumonia
ENSG00000007171	Asthma
ENSG00000007171	Atherogenesis
ENSG00000007171	Atherosclerosis
ENSG00000007171	Atherosclerotic Parkinsonism
ENSG00000007171	Atonic Absence Seizures
ENSG00000007171	Autistic Disorder
ENSG00000007171	Biliary cirrhosis
ENSG00000007171	Biliary Cirrhosis, Primary, 1
ENSG00000007171	Bonnevie-Ullrich Syndrome
ENSG00000007171	Brain Edema
ENSG00000007171	Brain Ischemia
ENSG00000007171	Breast Carcinoma
ENSG00000007171	Bronchial Diseases
ENSG00000007171	Cardiovascular Abnormalities
ENSG00000007171	Cerebral Edema
ENSG00000007171	Cerebral Hypoxia-Ischemia
ENSG00000007171	Cerebral Ischemia
ENSG00000007171	Cerebrovascular accident
ENSG00000007171	Cholangiocarcinoma
ENSG00000007171	Cholangitis, Sclerosing
ENSG00000007171	Cholestasis
ENSG00000007171	Cholestasis, Extrahepatic
ENSG00000007171	Chronic Airflow Obstruction
ENSG00000007171	Chronic Obstructive Airway Disease
ENSG00000007171	Clonic Seizures
ENSG00000007171	Colitis
ENSG00000007171	Colonic Neoplasms
ENSG00000007171	Complex partial seizures
ENSG00000007171	Complex Partial Status Epilepticus
ENSG00000007171	Congestive heart failure
ENSG00000007171	Convulsions
ENSG00000007171	Convulsive Seizures
ENSG00000007171	Curling Ulcer
ENSG00000007171	Cytotoxic Brain Edema
ENSG00000007171	Cytotoxic Cerebral Edema
ENSG00000007171	Depressive disorder
ENSG00000007171	Diabetes Mellitus, Experimental
ENSG00000007171	Diabetes Mellitus, Non-Insulin-Dependent
ENSG00000007171	Drug-Induced Stevens Johnson Syndrome
ENSG00000007171	Drug Withdrawal Symptoms
ENSG00000007171	Duodenal Ulcer
ENSG00000007171	Electron Transport Chain Deficiencies, Mitochondrial
ENSG00000007171	Endotoxemia
ENSG00000007171	Endotoxic shock
ENSG00000007171	Eperythrozoonosis
ENSG00000007171	Epileptic drop attack
ENSG00000007171	Epileptic Seizures
ENSG00000007171	Esophageal Neoplasms
ENSG00000007171	Essential Hypertension
ENSG00000007171	Extrahepatic Cholangiocarcinoma
ENSG00000007171	Focal glomerulosclerosis
ENSG00000007171	Gastric ulcer
ENSG00000007171	Generalized Absence Seizures
ENSG00000007171	Generalized seizures
ENSG00000007171	Gonadal Dysgenesis, 45,X
ENSG00000007171	Grand Mal Status Epilepticus
ENSG00000007171	Gustatory seizure
ENSG00000007171	Heart Decompensation
ENSG00000007171	Heart failure
ENSG00000007171	Heart Failure, Right-Sided
ENSG00000007171	Hepatic Insufficiency
ENSG00000007171	Hepatomegaly
ENSG00000007171	Hibernation, Myocardial
ENSG00000007171	Hyalinosis, Segmental Glomerular
ENSG00000007171	Hyperalgesia
ENSG00000007171	Hyperalgesia, Primary
ENSG00000007171	Hyperalgesia, Secondary
ENSG00000007171	Hyperalgesia, Thermal
ENSG00000007171	Hyperemia
ENSG00000007171	Hypertensive disease
ENSG00000007171	Hypothermia, natural
ENSG00000007171	Hypoxia-Ischemia, Brain
ENSG00000007171	Hypoxic-Ischemic Encephalopathy
ENSG00000007171	Inflammation
ENSG00000007171	Intestinal Diseases
ENSG00000007171	Intestinal schistosomiasis
ENSG00000007171	Intrahepatic Cholangiocarcinoma
ENSG00000007171	Jacksonian Seizure
ENSG00000007171	Kidney Diseases
ENSG00000007171	Kidney Failure, Acute
ENSG00000007171	Left-Sided Heart Failure
ENSG00000007171	Liver Cirrhosis, Experimental
ENSG00000007171	Liver diseases
ENSG00000007171	Liver Dysfunction
ENSG00000007171	Lung Neoplasms
ENSG00000007171	Malaria
ENSG00000007171	Malignant neoplasm of breast
ENSG00000007171	Malignant neoplasm of esophagus
ENSG00000007171	Malignant neoplasm of lung
ENSG00000007171	Malignant tumor of colon
ENSG00000007171	Mammary Carcinoma, Human
ENSG00000007171	Mammary Neoplasms
ENSG00000007171	Mammary Neoplasms, Human
ENSG00000007171	Manganese Poisoning
ENSG00000007171	Marfan Syndrome
ENSG00000007171	Marfan Syndrome, Type I
ENSG00000007171	Mechanical Allodynia
ENSG00000007171	Mendelson Syndrome
ENSG00000007171	Mental Depression
ENSG00000007171	Mitochondrial Diseases
ENSG00000007171	Mitochondrial Respiratory Chain Deficiencies
ENSG00000007171	Mycoplasma-Induced Stevens-Johnson Syndrome
ENSG00000007171	Mycoplasma Infections
ENSG00000007171	Myocardial Failure
ENSG00000007171	Myocardial Infarction
ENSG00000007171	Myocardial Reperfusion Injury
ENSG00000007171	Myocardial Stunning
ENSG00000007171	Myoclonic Seizures
ENSG00000007171	Necrosis
ENSG00000007171	Necrotizing Enterocolitis
ENSG00000007171	Neoplastic Cell Transformation
ENSG00000007171	Non-Convulsive Status Epilepticus
ENSG00000007171	Non-epileptic convulsion
ENSG00000007171	Nonepileptic Seizures
ENSG00000007171	Olfactory seizure
